PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
147002,-20001,I,"2022-11-28 07:30:01","Snapshot Refreshing ACAPRD Counts Started",event_scheduler@localhost,"2022-11-28 07:30:01","2022-11-28 07:30:01",event_scheduler@localhost
147003,-20001,I,"2022-11-28 07:31:25","Snapshot Refreshing ACAPRD Counts Completed",event_scheduler@localhost,"2022-11-28 07:31:25","2022-11-28 07:31:25",event_scheduler@localhost
147004,-20001,I,"2022-11-28 07:31:25","Refresh Ethnicity and Race",event_scheduler@localhost,"2022-11-28 07:31:25","2022-11-28 07:31:25",event_scheduler@localhost
147005,-20001,I,"2022-11-28 07:31:26","Refresh Employee Accomplishment",event_scheduler@localhost,"2022-11-28 07:31:26","2022-11-28 07:31:26",event_scheduler@localhost
147006,-8001,I,"2022-11-28 07:31:26","Refresh NHRDW_EMPLOYEE_ACCOMPLISHMENT - Started",event_scheduler@localhost,"2022-11-28 07:31:26","2022-11-28 07:31:26",event_scheduler@localhost
147007,-8001,I,"2022-11-28 07:31:28","Refresh NHRDW_EMPLOYEE_ACCOMPLISHMENT - Completed",event_scheduler@localhost,"2022-11-28 07:31:28","2022-11-28 07:31:28",event_scheduler@localhost
147008,-20001,I,"2022-11-28 07:31:28","Refresh SF50 Transaction",event_scheduler@localhost,"2022-11-28 07:31:28","2022-11-28 07:31:28",event_scheduler@localhost
147009,-7001,I,"2022-11-28 07:31:29","Refresh SF50 Transaction : Identify Same Day Prior Actions",event_scheduler@localhost,"2022-11-28 07:31:29","2022-11-28 07:31:29",event_scheduler@localhost
147010,-7001,I,"2022-11-28 07:34:09","Refresh SF50 Transaction : Identify Actions that does not have have sameday Prior Actions",event_scheduler@localhost,"2022-11-28 07:34:09","2022-11-28 07:34:09",event_scheduler@localhost
147011,-7001,I,"2022-11-28 07:37:30","Refresh SF50 Transaction : Identify Actions that does not have any prior day actions",event_scheduler@localhost,"2022-11-28 07:37:30","2022-11-28 07:37:30",event_scheduler@localhost
147012,-7001,I,"2022-11-28 07:37:37","Refresh SF50 Transaction : Update the Transactions that were already corrected with the Transaction Status Corrected",event_scheduler@localhost,"2022-11-28 07:37:37","2022-11-28 07:37:37",event_scheduler@localhost
147013,-7001,I,"2022-11-28 07:37:41","Refresh SF50 Transaction : Update the Transactions that were already corrected with the Transaction Status Corrected0",event_scheduler@localhost,"2022-11-28 07:37:41","2022-11-28 07:37:41",event_scheduler@localhost
147014,-7001,I,"2022-11-28 07:37:43","Refresh SF50 Transaction : Update the Transactions that were already corrected with the Corrective Action Details 13107",event_scheduler@localhost,"2022-11-28 07:37:43","2022-11-28 07:37:43",event_scheduler@localhost
147015,-7001,I,"2022-11-28 07:37:43","Refresh SF50 Transaction : Identify Transactions where NOA Code was corrected",event_scheduler@localhost,"2022-11-28 07:37:43","2022-11-28 07:37:43",event_scheduler@localhost
147016,-7001,I,"2022-11-28 07:37:45","Refresh SF50 Transaction : Derive Employee Status Phase 1",event_scheduler@localhost,"2022-11-28 07:37:45","2022-11-28 07:37:45",event_scheduler@localhost
147017,-7001,I,"2022-11-28 07:37:46","Refresh SF50 Transaction : Derive Employee Status Phase 2",event_scheduler@localhost,"2022-11-28 07:37:46","2022-11-28 07:37:46",event_scheduler@localhost
147018,-7001,I,"2022-11-28 07:37:52","Refresh SF50 Transaction : Update  Employee Status Phase 1",event_scheduler@localhost,"2022-11-28 07:37:52","2022-11-28 07:37:52",event_scheduler@localhost
147019,-7001,I,"2022-11-28 07:37:52","Refresh SF50 Transaction : Update  Employee Status Phase 2",event_scheduler@localhost,"2022-11-28 07:37:52","2022-11-28 07:37:52",event_scheduler@localhost
147020,-7001,I,"2022-11-28 07:37:52","Refresh SF50 Transaction : Update  Employee Status Phase 3",event_scheduler@localhost,"2022-11-28 07:37:52","2022-11-28 07:37:52",event_scheduler@localhost
147021,-7001,I,"2022-11-28 07:37:52","Refresh SF50 Transaction : Insert Future Employee Status Phase 1",event_scheduler@localhost,"2022-11-28 07:37:52","2022-11-28 07:37:52",event_scheduler@localhost
147022,-7001,I,"2022-11-28 07:37:52","Refresh SF50 Transaction : Insert Future Employee Status Phase 2",event_scheduler@localhost,"2022-11-28 07:37:52","2022-11-28 07:37:52",event_scheduler@localhost
147023,-7001,I,"2022-11-28 07:37:59","Refresh SF50 Transaction : Update Future Employee Status Phase",event_scheduler@localhost,"2022-11-28 07:37:59","2022-11-28 07:37:59",event_scheduler@localhost
147024,-7001,I,"2022-11-28 07:38:01","Refresh SF50 Transaction : Change in Agency Code Subelement Phase I",event_scheduler@localhost,"2022-11-28 07:38:01","2022-11-28 07:38:01",event_scheduler@localhost
147025,-7001,I,"2022-11-28 07:38:01","Refresh SF50 Transaction : Change in Agency Code Subelement Phase II",event_scheduler@localhost,"2022-11-28 07:38:01","2022-11-28 07:38:01",event_scheduler@localhost
147026,-7001,I,"2022-11-28 07:38:05","Refresh SF50 Transaction : Change in Department Phase I",event_scheduler@localhost,"2022-11-28 07:38:05","2022-11-28 07:38:05",event_scheduler@localhost
147027,-7001,I,"2022-11-28 07:38:06","Refresh SF50 Transaction : Change in Department Phase II",event_scheduler@localhost,"2022-11-28 07:38:06","2022-11-28 07:38:06",event_scheduler@localhost
147028,-7001,I,"2022-11-28 07:38:29","Refresh SF50 Transaction : Change in Supervisory Level Phase I",event_scheduler@localhost,"2022-11-28 07:38:29","2022-11-28 07:38:29",event_scheduler@localhost
147029,-7001,I,"2022-11-28 07:38:30","Refresh SF50 Transaction : Change in Supervisory Level Phase II",event_scheduler@localhost,"2022-11-28 07:38:30","2022-11-28 07:38:30",event_scheduler@localhost
147030,-7001,I,"2022-11-28 07:38:37","Refresh SF50 Transaction : Insert SF50 Personnel Action",event_scheduler@localhost,"2022-11-28 07:38:37","2022-11-28 07:38:37",event_scheduler@localhost
147031,-7001,I,"2022-11-28 07:48:20","Refresh SF50 Transaction : Insert SF50 Personnel Action Position Info",event_scheduler@localhost,"2022-11-28 07:48:20","2022-11-28 07:48:20",event_scheduler@localhost
147032,-7001,I,"2022-11-28 07:50:23","Refresh SF50 Transaction : Insert SF50 Personnel Action Org Location",event_scheduler@localhost,"2022-11-28 07:50:23","2022-11-28 07:50:23",event_scheduler@localhost
147033,-7001,I,"2022-11-28 07:52:57","Refresh SF50 Transaction : Insert SF50 Personnel Action Additional Info",event_scheduler@localhost,"2022-11-28 07:52:57","2022-11-28 07:52:57",event_scheduler@localhost
147034,-30001,I,"2022-11-28 07:56:55","Refresh OHRMBI BPR Transaction : Process Started",event_scheduler@localhost,"2022-11-28 07:56:55","2022-11-28 07:56:55",event_scheduler@localhost
147035,-30001,I,"2022-11-28 07:56:58","Refresh OHRMBI : Insert OHRMBI_BPR_EMPLOYEE_TRANSACTIONS14843",event_scheduler@localhost,"2022-11-28 07:56:58","2022-11-28 07:56:58",event_scheduler@localhost
147036,-30001,I,"2022-11-28 07:56:58","Refresh OHRMBI BPR Transaction : Process Completed",event_scheduler@localhost,"2022-11-28 07:56:58","2022-11-28 07:56:58",event_scheduler@localhost
147037,-7001,I,"2022-11-28 07:56:58","Refresh SF52 Requests :  Create Position ",event_scheduler@localhost,"2022-11-28 07:56:58","2022-11-28 07:56:58",event_scheduler@localhost
147038,-7001,I,"2022-11-28 07:57:47","Refresh SF52 MSS Requests :  Update Position ",event_scheduler@localhost,"2022-11-28 07:57:47","2022-11-28 07:57:47",event_scheduler@localhost
147039,-7001,I,"2022-11-28 08:03:49","Refresh SF52 Requests :  SF52 Requests",event_scheduler@localhost,"2022-11-28 08:03:49","2022-11-28 08:03:49",event_scheduler@localhost
147040,-7001,I,"2022-11-28 08:11:58","Refresh SF50 Transaction : Process Completed",event_scheduler@localhost,"2022-11-28 08:11:58","2022-11-28 08:11:58",event_scheduler@localhost
147041,-20001,I,"2022-11-28 08:11:58","Refresh GB ABS EVENT Table",event_scheduler@localhost,"2022-11-28 08:11:58","2022-11-28 08:11:58",event_scheduler@localhost
